Codigo,Fabricante,Descricao dos Produtos,UN,EAN/GTIN,Quantidade,Valor,Contar Nome,Contar Barcode,EAN SEARCH,TÍTULO
10945,METALKIT,NIPLE REDUC 3/4 X 1/2 METAL,UN-UN,SEM GTIN,,"8,50",1,,,
10946,METALKIT,NIPLE REDUCAO 1 X 1/2 METAL,UN-UN,SEM GTIN,,"8,90",1,,,
10947,METALKIT,NIPLE REDUCAO 1 X 3/4 METAL,UN-UN,SEM GTIN,,"8,90",1,,,
10952,METALKIT,NIPLE REDUCAO 1.1/2 X 3/4 METAL,UN-UN,SEM GTIN,,"15,50",1,,,
21936,BELMAR METAIS,NIPLE REDU�AO 3/4 X 1/2,UN-UN,,32,"8,50",1,,,
19426,MEXICHEM,NIPLE ROSC 1.1/2,UN-UN,,13,"15,50",1,,,
19443,MEXICHEM,NIPLE ROSC 1�,UN-UN,,47,"2,90",1,,,
7141,RAMADA,NIPLE ROSCAVEL 1,UN-UN,7897613321072,33,"9,50",1,1,https://www.ean-search.org/?q=7897613321072,
7143,RAMADA,NIPLE ROSCAVEL 1.1/2,UN-UN,7897613321096,,"11,50",1,1,https://www.ean-search.org/?q=7897613321096,
7142,RAMADA,NIPLE ROSCAVEL 1.1/4,UN-UN,7897613321089,15,"13,90",1,1,https://www.ean-search.org/?q=7897613321089,
10324,MEXICHEM,NIPLE ROSCAVEL 1/2,UN-UN,7891960112017,254,"1,30",3,1,https://www.ean-search.org/?q=7891960112017,
7139,RAMADA,NIPLE ROSCAVEL 1/2,UN-UN,7897613321058,180,"2,50",3,1,https://www.ean-search.org/?q=7897613321058,
21910,BELMAR METAIS,NIPLE ROSCAVEL 1/2,UN-UN,,32,"5,90",3,,,
21935,BELMAR METAIS,NIPLE ROSCAVEL 1�,UN-UN,,43,"17,50",1,,,
7144,RAMADA,NIPLE ROSCAVEL 2,UN-UN,7897613321102,11,"16,90",1,1,https://www.ean-search.org/?q=7897613321102,
10325,MEXICHEM,NIPLE ROSCAVEL 3/4,UN-UN,7891960112024,13,"1,50",3,1,https://www.ean-search.org/?q=7891960112024,
